Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down/Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Header_Length.1,Fwd_Avg_Bytes/Bulk,Fwd_Avg_Packets/Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes/Bulk,Bwd_Avg_Packets/Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,ECEFlagCount
443,117468115,15,14,1235,5014,577,0,82.33333333,148.9423027,1430,0,358.1428571,559.6006622,53.19741446,0.246875503,4195289.821,15400000,58900000,1,117000000,8390579.643,21300000,58900000,39,117000000,9029758.615,22000000,59000000,1,0,0,0,0,312,292,0.127694226,0.119181277,0,1430,208.3,414.2839398,171631.1828,0,0,0,1,0,0,0,0,0,215.4827586,82.33333333,358.1428571,312,0,0,0,0,0,0,15,1235,14,5014,8192,360,14,20,137591,72494.00142,188852,86330,58600000,533558.0283,58900000,58200000,BENIGN,
80,176059,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,66074.44095,51.11922708,22007.375,62034.24902,175534,3,392,196,271.529004,388,4,176046,35209.2,78444.16178,175534,3,0,0,0,0,72,132,17.03974236,34.07948472,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
58649,95531023,6,9,11613,62,5840,0,1935.5,2991.613996,20,0,6.888888889,5.30199124,122.2116087,0.157017056,6823644.5,22900000,86100000,3,95500000,19100000,41700000,93700000,4,93700000,11700000,30200000,86100000,3,0,0,0,0,132,192,0.062806822,0.094210234,0,5840,730.0625,1978.190435,3913237.396,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,38383,0,38383,38383,46800000,55500000,86100000,7594904,BENIGN,
80,6065887,5,0,30,0,6,6,6,0,0,0,0,0,4.945690548,0.824281758,1516471.75,3031611.645,6063889,1,6065887,1516471.75,3031611.645,6063889,1,0,0,0,0,0,0,0,0,0,100,0,0.824281758,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1998,0,1998,1998,6063889,0,6063889,6063889,DDoS,
80,91183129,9,6,62,11601,20,0,6.888888889,5.30199124,5840,0,1933.5,2189.772933,127.9074334,0.164504116,6513080.643,23700000,88900000,16,90100000,11300000,31400000,88900000,98,1117822,223564.4,484521.5225,1090046,16,0,0,0,0,192,132,0.098702469,0.065801646,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,6.888888889,1933.5,192,0,0,0,0,0,0,9,62,6,11601,256,229,7,20,1123816,0,1123816,1123816,88900000,0,88900000,88900000,DDoS,
53,165,2,2,88,188,44,44,44,0,94,94,94,0,1672727.273,24242.42424,55,90.93404203,160,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,64,64,12121.21212,12121.21212,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,
64589,5771609,2,7,1466,36,1460,6,733,1028.13326,6,0,5.142857143,2.267786838,260.2393891,1.559357191,721451.125,1830715.075,5245261,229,232186,232186,0,232186,232186,5304364,884060.6667,2136633.565,5245261,229,0,0,0,0,40,152,0.34652382,1.212833371,0,1460,150.8,460.009855,211609.0667,0,0,0,0,1,1,0,0,3,167.5555556,733,5.142857143,40,0,0,0,0,0,0,2,1466,7,36,229,0,1,20,526348,0,526348,526348,5245261,0,5245261,5245261,BENIGN,
80,3551979,5,0,30,0,6,6,6,0,0,0,0,0,8.44599588,1.40766598,887994.75,1775313.564,3550965,1,3551979,887994.75,1775313.564,3550965,1,0,0,0,0,0,0,0,0,0,100,0,1.40766598,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDoS,
61491,25371,7,2,11601,26,4380,0,1657.285714,1763.211531,20,6,13,9.899494937,458279.1376,354.7357219,3171.375,6360.934005,17841,5,25371,4228.5,7356.839233,18239,15,5,5,0,5,5,0,0,0,0,164,40,275.9055615,78.83016042,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,0,1291.888889,1657.285714,13,164,0,0,0,0,0,0,7,11601,2,26,8192,256,5,20,0,0,0,0,0,0,0,0,BENIGN,
137,49,2,0,124,0,62,62,62,0,0,0,0,0,2530612.245,40816.32653,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,64,0,40816.32653,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,93,62,0,64,0,0,0,0,0,0,2,124,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,
